merchant,category,amt,gender,lat,long,city_pop,job,unix_time,merch_lat,merch_long,is_fraud
"fraud_Rippin, Kub and Mann",misc_net,4.97,F,36.0788,-81.1781,3495,"Psychologist, counselling",1325376018,36.011293,-82.048315,0
"fraud_Heller, Gutmann and Zieme",grocery_pos,107.23,F,48.8878,-118.2105,149,Special educational needs teacher,1325376044,49.159047,-118.186462,0
fraud_Lind-Buckridge,entertainment,220.11,M,42.1808,-112.262,4154,Nature conservation officer,1325376051,43.150704,-112.154481,0
"fraud_Kutch, Hermiston and Farrell",gas_transport,45.0,M,46.2306,-112.1138,1939,Patent attorney,1325376076,47.034331,-112.561071,0
fraud_Keeling-Crist,misc_pos,41.96,M,38.4207,-79.4629,99,Dance movement psychotherapist,1325376186,38.674999,-78.632459,0
"fraud_Stroman, Hudson and Erdman",gas_transport,94.63,F,40.375,-75.2045,2158,Transport planner,1325376248,40.653382,-76.15266700000001,0
fraud_Rowe-Vandervort,grocery_net,44.54,F,37.9931,-100.9893,2691,Arboriculturist,1325376282,37.162705,-100.15337,0
fraud_Corwin-Collins,gas_transport,71.65,M,38.8432,-78.6003,6018,"Designer, multimedia",1325376308,38.948089,-78.540296,0
fraud_Herzog Ltd,misc_pos,4.27,F,40.3359,-79.6607,1472,Public affairs consultant,1325376318,40.351813,-79.958146,0
"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,198.39,F,36.522,-87.34899999999999,151785,Pathologist,1325376361,37.179198,-87.485381,0
fraud_Rutherford-Mertz,grocery_pos,24.74,M,40.7491,-95.038,7297,IT trainer,1325376383,40.275891,-96.011548,0
fraud_Kerluke-Abshire,shopping_net,7.77,F,39.3716,-77.8229,1925,Systems developer,1325376413,40.103866,-78.624459,0
fraud_Lockman Ltd,grocery_pos,71.22,M,27.7898,-82.7243,341043,"Engineer, land",1325376416,27.630593,-82.308891,0
fraud_Kiehn Inc,grocery_pos,96.29,M,41.6125,-122.5258,589,Systems analyst,1325376447,41.65752,-122.230347,0
fraud_Beier-Hyatt,shopping_pos,7.77,M,32.9396,-105.8189,899,Naval architect,1325376543,32.863258,-106.520205,0
fraud_Schmidt and Sons,shopping_net,3.26,M,40.9918,-73.98,4664,"Radiographer, diagnostic",1325376560,41.831174,-74.335559,0
fraud_Lebsack and Sons,misc_net,327.0,F,36.385,-98.0727,1078,"Programme researcher, broadcasting/film/video",1325376649,36.384092,-99.048472,0
fraud_Mayert Group,shopping_pos,341.67,M,38.9763,-87.3667,4081,Energy engineer,1325376658,38.674491,-88.305767,0
"fraud_Konopelski, Schneider and Hartmann",food_dining,63.07,M,42.1767,-79.9416,2518,Event organiser,1325376674,41.430274,-79.492553,0
"fraud_Schultz, Simonis and Little",grocery_pos,44.71,M,40.6747,-74.2239,124967,Operational researcher,1325376754,40.079588,-74.84808699999999,0
fraud_Bauch-Raynor,grocery_pos,57.34,M,42.728,-71.181,47249,Market researcher,1325376788,42.26876,-71.217297,0
fraud_Harris Inc,gas_transport,50.79,M,40.6866,-92.6833,1132,Probation officer,1325376877,40.18893,-91.955115,0
fraud_Kling-Grant,grocery_net,46.28,F,40.6152,-74.415,71485,Leisure centre manager,1325377036,40.021888,-74.228188,0
fraud_Pacocha-Bauch,shopping_pos,9.55,F,31.9571,-98.9656,1791,Corporate investment banker,1325377060,31.62635,-98.610225,0
fraud_Lesch Ltd,shopping_pos,22.95,M,42.9993,-88.2196,95015,"Therapist, occupational",1325377086,43.375041,-89.055065,0
fraud_Kunde-Sanford,misc_net,2.55,F,35.8072,-78.0892,6629,Call centre manager,1325377087,36.74987,-78.67787,0
